address,kept_as,retrieved_on,content_type,bytes,sha256
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-04-02-2016?meeting=10353&iob=95300,official-report/parliament-official-report-04-02-2016-meeting-10353_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,185494,03ad53985a0dfbc7adcdd86f88cfb54d22b7a57ab287fb8d642c3b12e45588e4
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-06-02-2003?meeting=4426&iob=31672,official-report/parliament-official-report-06-02-2003-meeting-4426_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,222370,4a5c069aca4b5c7c61592005c24d353de830935f622954955105dceff9628fe5
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-06-03-2003?meeting=4434&iob=31842,official-report/parliament-official-report-06-03-2003-meeting-4434_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,223709,f4985462ee2c9a817d85e8aab1c827f44ef937a3c87771960e23283a35b67688
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-07-02-2002?meeting=4356&iob=30376,official-report/parliament-official-report-07-02-2002-meeting-4356_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,256334,dc66db5261f8db3ddaf9b4b7e66b0c13b28090fc790a283f263881b60c83a969
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-09-02-2016?meeting=10362&iob=95337,official-report/parliament-official-report-09-02-2016-meeting-10362_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,216707,1b2b2a9cd806e3ee7f06aa18dbbdb665832f37078d20fa3cbf118583c8a36528
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-09-10-2025?meeting=16626&iob=141998,official-report/parliament-official-report-09-10-2025-meeting-16626_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,247106,b69a4ac1dbae2146e0a2be22da3daffe0639aa3014b74d8551132b7fd5699ec0
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-09-11-2006?meeting=4684&iob=37614,official-report/parliament-official-report-09-11-2006-meeting-4684_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,266604,1c5ce7911bec18cef29238d31c52571c670a962a03e841d5bdcd28f1b6064a5b
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-13-06-2019?meeting=12183&iob=110075,official-report/parliament-official-report-13-06-2019-meeting-12183_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,184992,9718e13ab12f72713d359ef9016a5e6a445e122b44fdcf29a251b24114836b9d
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-17-03-2026?meeting=20140&iob=224973,official-report/parliament-official-report-17-03-2026-meeting-20140_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,235684,59ec4d0ce465bd41b95f2b9bd799f6a57a7c63152729d8152a2c91f16970919b
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-18-04-2024?meeting=15804&iob=134939,official-report/parliament-official-report-18-04-2024-meeting-15804_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,186137,48517a5eb0c3d7350c361c12554fcfb33935093f3324f0898c54c89c8ad88254
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-20-06-2002?meeting=4386&iob=30926,official-report/parliament-official-report-20-06-2002-meeting-4386_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,272374,d053cbf138e1438825b0081f41e975e73c10b14b1a152b6db21ddd05ae814865
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-20-12-2006?meeting=4695&iob=37886,official-report/parliament-official-report-20-12-2006-meeting-4695_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,204097,8d8a49d84af43fab079409499c454564dee2db4e95ad54a7f245ef3b1a20f4b6
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-21-01-2021?meeting=13068&iob=118279,official-report/parliament-official-report-21-01-2021-meeting-13068_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,196726,c43bb75e98a3f0da4e0d0bd03d56bcfff3479c667353c08f83ecc960f95907d4
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-21-03-2007?meeting=4717&iob=38461,official-report/parliament-official-report-21-03-2007-meeting-4717_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,179971,d0bdec9ff4e7131a2b4e4f8d2b0988b22fdd62b4b4fce371782b428a6468309a
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-22-01-2026?meeting=20020&iob=202028,official-report/parliament-official-report-22-01-2026-meeting-20020_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,198940,73f393930f8cd890cfe9263ef57c63550bd30c7c65c14d25f379d9c43615b693
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-23-11-2023?meeting=15565&iob=132856,official-report/parliament-official-report-23-11-2023-meeting-15565_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,212081,762253487601b395573e91d910f07cf613d0e593cae36d8fc3d447a0a9e10e05
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-24-02-2026?meeting=20092&iob=224668,official-report/parliament-official-report-24-02-2026-meeting-20092_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,195993,a6f2b325aeb013a4358c33eabf0994b4a879a06c18c66a144786ae1c84844003
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-25-01-2006?meeting=4629&iob=36212,official-report/parliament-official-report-25-01-2006-meeting-4629_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,181195,3b035f72230e52fa3ec3188796c19d82f678b028ee3d91aa2d7fba58305e329d
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-25-02-2016?meeting=10386&iob=95620,official-report/parliament-official-report-25-02-2016-meeting-10386_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,213977,34a4ca057b323ef7475a1730a918b1bfc22ba564f47cbe972ebfd8840c9e7b57
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-26-01-2016?meeting=10333&iob=95047,official-report/parliament-official-report-26-01-2016-meeting-10333_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,221434,dab360ffd67ef9e7a1e8687c76dccf9cff26415c1264c4b8f7e0fc956727c33f
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-26-01-2021?meeting=13077&iob=118361,official-report/parliament-official-report-26-01-2021-meeting-13077_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,198740,9e5df37dffd7e1933b27ce1dd0b5f7382f08bb0003bb810933da8a8b30eb76fb
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-27-02-2003?meeting=4432&iob=31801,official-report/parliament-official-report-27-02-2003-meeting-4432_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,196247,42ba22631e64ed06f8de3ab0a2d58f0c0eb2d778a48f25cd6333a498fd30cba6
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-27-05-2015?meeting=9970&iob=91581,official-report/parliament-official-report-27-05-2015-meeting-9970_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,197506,9718e899a8ba3cce51a7404338b7837efd8612bd5f087c9db16a3c5d776264e8
https://www.parliament.scot/chamber-and-committees/official-report/search-what-was-said-in-parliament/meeting-of-parliament-31-01-2007?meeting=4703&iob=38089,official-report/parliament-official-report-31-01-2007-meeting-4703_retrieved-2026-09-18.html,2026-09-18,text/html; charset=utf-8,187297,2cce30d51896cbb99f7b798cb5fee528bed95623031709de0b362b76c0ed85b2
https://www.supremecourt.uk/cases/uksc-2018-0080,judgments/supremecourt-case-uksc-2018-0080_retrieved-2026-09-17.html,2026-09-17,text/html,119462,70ec07558ec981eed0fc546ccac4fe85b16c762bccc249566c2f13ec5d3046c3
