line,session,title,type,sp_bill_number,introduced,outcome,passed,withdrawn_or_fell,stage_1_date,stage_2_date,phd_reference,stage_reached_if_not_passed,note
1,1,Abolition of Feudal Tenure (Scotland) Act 2000,government,,1999-10-06,passed,2000-05-03,,,,,,
2,1,Abolition of Poindings and Warrant Sales Act 2001,members,,1999-09-24,passed,2000-12-06,,,,,,
3,1,Adults with Incapacity (Scotland) Act 2000,government,,1999-10-08,passed,2000-03-29,,,,,,
4,1,Agricultural Holdings (Scotland) Act 2003,government,,2002-09-16,passed,2003-03-12,,,,,,
5,1,"Bail, Judicial Appointments etc. (Scotland) Act 2000",government,,2000-05-25,passed,2000-07-05,,,,,,
6,1,Budget (Scotland) Act 2000,government,,2000-01-21,passed,2000-02-10,,,,,,
7,1,Budget (Scotland) Act 2001,government,,2001-01-19,passed,2001-02-08,,,,,,
8,1,Budget (Scotland) Act 2002,government,,2002-01-18,passed,2002-02-14,,,,,,
9,1,Budget (Scotland) Act 2003,government,,2003-01-20,passed,2003-02-13,,,,,,
10,1,Building (Scotland) Act 2003,government,,2002-09-18,passed,2003-02-20,,,,,,
11,1,Census (Amendment) (Scotland) Act 2000,government,,2000-02-29,passed,2000-03-15,,,,,,
12,1,Commissioner for Children and Young People (Scotland) Act 2003,committee,,2002-12-04,passed,2003-03-26,,,,,,
13,1,Community Care and Health (Scotland) Act 2002,government,,2001-09-24,passed,2002-02-06,,,,,,
14,1,Convention Rights (Compliance) (Scotland) Act 2001,government,,2001-01-10,passed,2001-05-30,,,,,,
15,1,Council of the Law Society of Scotland Act 2003,members,,2002-09-06,passed,2003-03-26,,,,,,
16,1,Criminal Justice (Scotland) Act 2003,government,,2002-03-26,passed,2003-02-20,,,,,,
17,1,Criminal Procedure (Amendment) (Scotland) Act 2002,government,,2002-02-25,passed,2002-02-27,,,,,,
18,1,Debt Arrangement and Attachment (Scotland) Act 2002,government,,2002-05-07,passed,2002-11-13,,,,,,
19,1,Dog Fouling (Scotland) Act 2003,members,,2002-06-11,passed,2003-03-13,,,,,,
20,1,Education (Disability Strategies and Pupils’ Educational Records) (Scotland) Act 2002,government,,2001-12-18,passed,2002-03-28,,,,,,
21,1,Education (Graduate Endowment and Student Support) (Scotland) Act 2001,government,,2000-12-07,passed,2001-03-29,,,,,,
22,1,Education and Training (Scotland) Act 2000,government,,2000-04-28,passed,2000-06-29,,,,,,
23,1,Erskine Bridge Tolls Act 2001,government,,2001-09-04,passed,2001-09-06,,,,,,
24,1,Ethical Standards in Public Life etc. (Scotland) Act 2000,government,,2000-03-01,passed,2000-06-21,,,,,,
25,1,Freedom of Information (Scotland) Act 2002,government,,2001-09-27,passed,2002-04-24,,,,,,
26,1,Fur Farming (Prohibition) (Scotland) Act 2002,government,,2001-10-05,passed,2002-03-06,,,,,,
27,1,Homelessness etc. (Scotland) Act 2003,government,,2002-09-16,passed,2003-03-05,,,,,,
28,1,Housing (Scotland) Act 2001,government,,2000-12-18,passed,2001-06-13,,,,,,
29,1,International Criminal Court (Scotland) Act 2001,government,,2001-04-04,passed,2001-09-13,,,,,,
30,1,Land Reform (Scotland) Act 2003,government,,2001-11-27,passed,2003-01-23,,,,,,
31,1,Leasehold Casualties (Scotland) Act 2001,members,,2000-05-10,passed,2001-03-08,,,,,,
32,1,Local Government in Scotland Act 2003,government,,2002-05-16,passed,2003-01-08,,,,,,
33,1,Marriage (Scotland) Act 2002,government,,2001-11-13,passed,2002-02-27,,,,,,
34,1,Mental Health (Care & Treatment) (Scotland) Act 2003,government,,2002-09-16,passed,2003-03-20,,,,,,
35,1,Mental Health (Public Safety and Appeals) (Scotland) Act 1999,government,,1999-08-31,passed,1999-09-08,,,,,,
36,1,Mortgage Rights (Scotland) Act 2001,members,,2000-07-03,passed,2001-06-20,,,,,,
37,1,National Galleries of Scotland Act 2003,private,,2002-10-28,passed,2003-03-26,,,,,,
38,1,National Parks (Scotland) Act 2000,government,,2000-03-27,passed,2000-07-05,,,,,,
39,1,Police and Fire Services (Finance) (Scotland) Act 2001,government,,2001-05-31,passed,2001-11-01,,,,,,
40,1,Protection from Abuse (Scotland) Act 2001,committee,,2001-06-04,passed,2001-10-04,,,,,,
41,1,Protection of Children (Scotland) Act 2003,government,,2002-09-06,passed,2003-02-12,,,,,,
42,1,Protection of Wild Mammals (Scotland) Act 2002,members,,2000-03-01,passed,2002-02-13,,,,,,
43,1,Public Appointments and Public Bodies etc. (Scotland) Act 2003,government,,2002-06-17,passed,2003-02-05,,,,,,
44,1,Public Finance and Accountability (Scotland) Act 2000,government,,1999-09-07,passed,1999-12-01,,,,,,
45,1,Regulation of Care (Scotland) Act 2001,government,,2000-12-20,passed,2001-05-31,,,,,,
46,1,Regulation of Investigatory Powers (Scotland) Act 2000,government,,2000-05-25,passed,2000-09-07,,,,,,
47,1,Salmon and Freshwater Fisheries (Consolidation) (Scotland) Act 2003,government,,2002-11-27,passed,2003-03-26,,,,,,
48,1,Salmon Conservation (Scotland) Act 2001,government,,2000-09-28,passed,2001-01-11,,,,,,
49,1,School Education (Amendment) (Scotland) Act 2002,government,,2001-09-28,passed,2001-12-20,,,,,,
50,1,Scottish Local Authorities (Tendering) Act 2001,government,,2001-04-05,passed,2001-06-06,,,,,,
51,1,Scottish Local Government (Elections) Act 2002,government,,2001-10-04,passed,2001-12-20,,,,,,
52,1,Scottish Parliamentary Standards Commissioner Act 2002,committee,,2002-02-04,passed,2002-06-27,,,,,,
53,1,Scottish Public Services Ombudsman Act 2002,government,,2001-11-22,passed,2002-03-21,,,,,,
54,1,Scottish Qualifications Authority Act 2002,government,,2002-01-31,passed,2002-05-02,,,,,,
55,1,Sea Fisheries (Shellfish) Amendment (Scotland) Act 2000,members,,2000-03-08,passed,2000-09-28,,,,,,
56,1,Sexual Offences (Procedure and Evidence) (Scotland) Act 2002,government,,2001-06-28,passed,2002-03-06,,,,,,
57,1,Standards in Scotland's Schools etc. Act 2000,government,,2000-01-19,passed,2000-06-07,,,,,,
58,1,Title Conditions (Scotland) Act 2003,government,,2002-06-06,passed,2003-02-26,,,,,,
59,1,Transport (Scotland) Act 2001,government,,2000-06-05,passed,2000-12-20,,,,,,
60,1,University of St. Andrews (Postgraduate Medical Degrees) Act 2002,members,,2002-04-17,passed,2002-06-26,,,,,,
61,1,Water Environment and Water Services (Scotland) Act 2003,government,,2002-06-18,passed,2003-01-29,,,,,,
62,1,Water Industry (Scotland) Act 2002,government,,2001-09-26,passed,2002-02-14,,,,,,
63,1,Education (Graduate Endowment and Student Support) (Scotland) Bill,government,,2000-10-05,withdrawn,,2000-12-07,,,,,
64,1,Family Homes and Homelessness (Scotland) Bill,members,,2000-04-04,withdrawn,,2001-06-14,,,,,
65,1,Tobacco Advertising and Promotion (Scotland) Bill,members,,2001-11-05,withdrawn,,2002-12-04,,,,,
66,1,Gaelic Language (Scotland) Bill,members,,2002-11-13,fell_dissolution,,2003-03-31,,,,,
